language,model,base_model,method,context_source,weighted,weight_score,estimator,noun_gap_reduction_mean,noun_gap_reduction_std,occ_gap_preservation_mean,occ_gap_preservation_std,tradeoff_gmean_mean,tradeoff_gmean_std,tradeoff_hmean_mean,tradeoff_hmean_std,rank_by_tradeoff,rank_by_gmean
french,french_camembert,french_camembert,Controlled-median-weighted,Controlled,True,median_abs,Centroid,0.905147028052603,0.02162379627513668,0.8493055226922938,0.007031788235912233,0.8766934200084716,0.007274636606223613,0.8761610397423105,0.0068813376897156235,1.0,2.0
french,multilingual_mbert,multilingual_mbert,Controlled-unweighted,Controlled,False,none,Centroid,0.9675290578614119,0.02149321325812832,0.7666760063543631,0.0034647360345076267,0.8612146444450843,0.00876017540757725,0.8553681594283455,0.007546651278218921,1.0,1.0
french,multilingual_xlmr,multilingual_xlmr,Natural-median-weighted,Natural,True,median_abs,Centroid,0.9677362224439389,0.027557021770499103,0.7809277189101158,0.008770714080629183,0.8692128964480975,0.010285802421165955,0.8641263907193789,0.009027185361909204,1.0,1.0
spanish,multilingual_mbert,multilingual_mbert,Natural-unweighted,Natural,False,none,Centroid,0.9700035651392749,0.029805874760839124,0.8119516108490392,0.0021131247094542936,0.8873720610890306,0.01310073511130904,0.8837823586732944,0.01190179975868069,1.0,1.0
spanish,multilingual_xlmr,multilingual_xlmr,Natural-unweighted,Natural,False,none,Centroid,0.9482187704462308,0.03407167455060833,0.8586013454671543,0.00040884909995878737,0.9021815150193888,0.016247431022407093,0.9009551890746128,0.015446533460048,1.0,1.0
spanish,spanish_beto,spanish_beto,Controlled-unweighted,Controlled,False,none,Centroid,0.9797972086552036,0.010962831162788813,0.9209195897824237,0.0008840542721252805,0.9498908060250036,0.005448567278118866,0.9494234625885817,0.005294002213175711,1.0,1.0
