context,weight_variant,delta_noun_reduction_mean,delta_noun_reduction_std,delta_occ_preservation_mean,delta_occ_preservation_std,delta_gtradeoff_mean,delta_gtradeoff_std,delta_htradeoff_mean,delta_htradeoff_std
Controlled,mean,-0.04309320320671578,0.03587363647522995,0.016771017455090853,0.026961641033384175,-0.011128629669942899,0.010227439347870926,-0.009112735383404588,0.01055295166259368
Controlled,median,-0.04348384534271391,0.03588611111588843,0.016732290108593544,0.026422603473148426,-0.011352344861385366,0.011722285730680834,-0.009345416972432538,0.01212611946497125
Natural,mean,-0.07484356350585974,0.062260252619704595,0.028241587424978936,0.03969127363198799,-0.020578877614215268,0.02472424381112955,-0.017884344030364374,0.026161836363673856
Natural,median,-0.07727236885856774,0.06520146638959029,0.028820199699603644,0.039498530358498964,-0.021555432536243018,0.027951991267676057,-0.018912087236515534,0.029652866314330683
