method,noun_gap_reduction_mean,occ_gap_preservation_mean,tradeoff_gmean_mean,tradeoff_hmean_mean
Controlled-mean-weighted,0.7117483620545297,0.8275052700578185,0.7526219513516988,0.7371124229622703
Controlled-median-weighted,0.7116109924564227,0.8275069707043996,0.752532836867519,0.737004606528102
Controlled-unweighted,0.7294584157267064,0.820627353773434,0.7580341943942237,0.7424509157333792
Natural-mean-weighted,0.7003299235224432,0.8352971199002135,0.7526754922608154,0.7385169965542885
Natural-median-weighted,0.6995778638708063,0.8353652819696789,0.7523134850196158,0.7381349700462262
Natural-unweighted,0.7257865745332086,0.8240843318920363,0.7595871407359261,0.7450816295628031
