method,raw_alignment_mean,raw_alignment_std,clean_alignment_mean,clean_alignment_std,delta_mean,delta_std
Controlled-unweighted,0.7882041533788046,0.17107262995091407,0.7882050275802612,0.17111959801306267,8.742014566989168e-07,0.002809380714917794
Controlled-weighted,0.7882041533788046,0.17107262995091407,0.7882050275802612,0.17111959801306267,8.742014566989168e-07,0.002809380714917794
Natural-unweighted,0.7882041533788046,0.17107262995091407,0.7887672086556753,0.17052925814858258,0.0005630552768707138,0.005661627079472998
Natural-weighted,0.7882041533788046,0.17107262995091407,0.7887672086556753,0.17052925814858258,0.0005630552768707138,0.005661627079472998
